Epoch,Loss
1,0.34698339624573354
2,0.04677395663305145
3,0.03993025997086712
4,0.03797727572205274
5,0.035157932904953865
6,0.03307447541991006
7,0.03774499593545561
8,0.034711537720716515
9,0.027177064882024475
10,0.016706227523251942
11,0.01257964171869073
12,0.007407687389312069
13,0.004034136998993547
14,0.0023932069813346734
15,0.002069589593346514
16,0.0018208422343773038
17,0.0016609916777309516
18,0.0014687892588604566
19,0.0014312770318887804
20,0.0012597423932596068
21,0.0012813934970282667
22,0.0012617013898030248
23,0.0011737538734450936
24,0.0012865781799242225
25,0.0009653494026956057
26,0.0009054422376009271
27,0.000891716672492254
28,0.0008995667752890807
29,0.0008849878479098982
30,0.0007805702815581437
31,0.0006999395396712276
32,0.0007102886327471504
33,0.0007255042968925251
34,0.0007300775968874602
35,0.0008189494698814561
36,0.0008089775181598152
37,0.0005982243408716979
38,0.0005992927579664747
39,0.0006185307347154974
40,0.0005908675755133276
41,0.0005097282080738375
42,0.0004961472649997829
43,0.0005405521623406853
44,0.00047781458707781303
45,0.0005526565117021244
46,0.0005022310955530924
47,0.0005443791805705785
48,0.00046188743347200847
49,0.00044202566293635124
50,0.0004546302275823267
51,0.0004578076806628024
52,0.0004349104257688969
53,0.0008628744943290139
54,0.0011456037207054856
55,0.000542308118462603
56,0.0004402654965459711
57,0.0004059894850481372
58,0.0004140853852732107
59,0.0003985070284018192
60,0.0003725850339991587
61,0.0003712169431626377
62,0.0005030428393460486
63,0.0005934692887629591
64,0.0003799296075316227
65,0.0004134274938184282
66,0.000431855812443562
67,0.0003949619289830045
68,0.000386886877144523
69,0.00037463986138944796
70,0.0003663465910864508
71,0.00032430433025640667
72,0.00032285450256692815
73,0.0003312360580742319
74,0.0003322296274844753
75,0.00034446043940514085
76,0.00036626686746983427
77,0.0003563003803087075
78,0.00033233457709328553
79,0.0003136016614165704
80,0.0003346649891286886
81,0.00035567113651347387
82,0.000312780334357028
83,0.0003081235691832858
84,0.0002911271608255724
85,0.00031259340537713877
86,0.00031011928734622654
87,0.0002965323566533461
88,0.00029786170710829776
89,0.0002757868373326188
90,0.0003058749580700153
91,0.0002898114648617237
92,0.0003585790065066565
93,0.0003501481355076818
94,0.00029220685056592947
95,0.0002927101348118215
96,0.00030709419345088384
97,0.0002959707243185814
98,0.0003198162521584891
99,0.0003525647296792949
100,0.00030679148261222747
